,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4080141800,,,,,,,,,,,,,,,,,,,,,,,,
4080141900,,,,,,,,,,,,,,,,,,,,,,,,
4080142000,,,,,,,,,,,,,,,,,,,,,,,,
4080142100,,,,,,,,,,,,,,,,,,,,,,,,
4080142200,,,,,,,,,,,,,,,,,,,,,,,,
4080142300,,,,,,,,,,,,,,,,,,,,,,,,
4080142400,,,,,,,,,,,,,,,,,,,,,,,,
4070136400,,,,,,,,,,,,,,,,,,,,,,,,
4070136500,,,,,,,,,,,,,,,,,,,,,,,,
4070136600,,,,,,,,,,,,,,,,,,,,,,,,
4070136700,,,,,,,,,,,,,,,,,,,,,,,,
4070136800,,,,,,,,,,,,,,,,,,,,,,,,
4080142500,,,,,,,52.0,,,,50.0,51.0,50.0,50.0,48.0,48.0,44.0,,48.0,,,,,
4080142600,51.0,,,,,,,,,,47.0,48.0,47.0,50.0,50.0,43.0,48.0,47.0,46.0,47.0,45.0,39.0,45.0,
4080142700,,,,,,,,,,,,26.0,,,32.0,32.0,23.0,18.0,,,,,,
4080142800,27.0,,,,,,,,,,,23.0,21.0,22.0,22.0,23.0,26.0,21.0,23.0,24.0,24.0,,,
4080061600,,,,,,,,,,,,,,,,,,,,,,,,
4080061700,,,,,,,,,,,,,,,,,,,,,,,,
4080061800,,,,,,,,,,,,,,,,,,,,,,,,
4080061900,,,,,,,,,,,,,,,,,,,,,,,,
4080062000,,,,,,,,,,,,,,,,,,,,,,,,
4080062100,,,,,,,,,,,,,,,,,,,,,,,,
4080062200,,,,,,,,,,,,,,,,,,,,,,,,
4080062300,,,,,,,,,,,,,,,,,,,,,,,,
4080062400,,,,,,,,,,,,,,,,,,,,,,,,
4080062500,,,,,,,,,,,,,,,,,,,,,,,,
4080062600,,,,,,,,,,,,,,,,,,,,,,,,
4080062700,,,,,,,,,,,,,,,,,,,,,,,,
4080062800,,,,,,,,,,,,,,,,,,,,,,,,
4080062900,,,,,,,,,,,,,,,,,,,,,,,,
4080063000,,,,,,,,,,,,,,,,,,,,,,,,
4080063100,,,,,,,,,,,,,,,,,,,,,,,,
